epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.84,1.61127,2.74592,1.50343,0.63152,0.09324,0.05792,0.02733,1.78573,4.12025,1.87061,0.0701622,0.00331532,0.00331532
2,384.555,1.52703,2.29091,1.49537,0.57493,0.18867,0.14761,0.07181,1.7147,7.63234,1.74521,0.0400963,0.00658283,0.00658283
3,569.201,1.45822,2.17034,1.4695,0.28165,0.33987,0.23617,0.11607,1.71468,2.50505,1.65546,0.00996452,0.00978434,0.00978434
4,754.963,1.37723,2.01539,1.39881,0.34843,0.33037,0.14253,0.07835,1.54337,2.33779,1.55433,0.009703,0.009703,0.009703
5,940.291,1.34977,1.96444,1.39142,0.23696,0.5234,0.28884,0.2073,1.01353,1.69442,1.16368,0.009604,0.009604,0.009604
6,1125.73,1.31275,1.91806,1.362,0.32542,0.44322,0.28675,0.13882,1.74511,1.90455,1.69954,0.009505,0.009505,0.009505
7,1311.01,1.28122,1.86853,1.34096,0.42195,0.46013,0.33618,0.25845,0.91372,1.62093,1.12338,0.009406,0.009406,0.009406
8,1497.05,1.26908,1.83957,1.32613,0.31095,0.51315,0.35343,0.20208,1.51196,1.70969,1.44386,0.009307,0.009307,0.009307
9,1682.63,1.24032,1.81649,1.31129,0.27086,0.44479,0.26424,0.10057,2.25525,1.82663,2.24949,0.009208,0.009208,0.009208
10,1868.78,1.22617,1.79183,1.30229,0.31923,0.62166,0.39834,0.30104,0.95514,1.45909,1.1285,0.009109,0.009109,0.009109
11,2054.72,1.21821,1.7721,1.29982,0.37261,0.5489,0.41302,0.298,1.10151,1.41564,1.17454,0.00901,0.00901,0.00901
12,2240.67,1.20312,1.73029,1.28345,0.37679,0.57883,0.41589,0.29996,1.05615,1.40468,1.15842,0.008911,0.008911,0.008911
13,2427.6,1.19413,1.72428,1.27424,0.38377,0.54276,0.40904,0.29018,1.05051,1.45665,1.15441,0.008812,0.008812,0.008812
14,2613.31,1.18167,1.69959,1.26915,0.37806,0.57551,0.40813,0.27849,1.1346,1.44526,1.21516,0.008713,0.008713,0.008713
15,2802.31,1.16576,1.66817,1.25884,0.39643,0.5496,0.4306,0.32646,0.9334,1.3674,1.10181,0.008614,0.008614,0.008614
16,2991.4,1.15732,1.65849,1.24864,0.42049,0.54636,0.43659,0.23768,1.50231,1.45954,1.50935,0.008515,0.008515,0.008515
17,3180.33,1.14463,1.64382,1.24401,0.43646,0.58187,0.48039,0.38108,0.86039,1.32051,1.06083,0.008416,0.008416,0.008416
18,3367.29,1.13608,1.63469,1.23954,0.45012,0.55441,0.44533,0.3408,0.87805,1.41676,1.09572,0.008317,0.008317,0.008317
19,3553.68,1.13352,1.61761,1.23791,0.40934,0.53461,0.41646,0.17789,1.93368,1.50227,2.05407,0.008218,0.008218,0.008218
20,3740.29,1.13056,1.59865,1.23462,0.46112,0.60891,0.49817,0.37737,0.96287,1.28364,1.09918,0.008119,0.008119,0.008119
21,3927.78,1.12362,1.59087,1.22911,0.46952,0.59317,0.49137,0.39332,0.81354,1.2463,1.04283,0.00802,0.00802,0.00802
22,4114.09,1.11101,1.58511,1.22053,0.47031,0.62592,0.52228,0.41929,0.81591,1.21719,1.0371,0.007921,0.007921,0.007921
23,4305.8,1.09413,1.55405,1.20742,0.482,0.63086,0.5263,0.40588,0.93223,1.21291,1.08026,0.007822,0.007822,0.007822
24,4493.95,1.09099,1.5426,1.21031,0.50411,0.60693,0.52164,0.40631,0.88932,1.21236,1.06707,0.007723,0.007723,0.007723
25,4681.48,1.08774,1.54322,1.20397,0.49708,0.60002,0.50886,0.41306,0.78746,1.24621,1.03015,0.007624,0.007624,0.007624
26,4871.51,1.08286,1.52916,1.2057,0.53417,0.63634,0.5517,0.43312,0.84976,1.15983,1.04309,0.007525,0.007525,0.007525
27,5062.63,1.08396,1.53442,1.20755,0.48382,0.62873,0.53172,0.40468,0.92571,1.27184,1.08426,0.007426,0.007426,0.007426
28,5253.67,1.06846,1.51355,1.19603,0.52917,0.63491,0.54885,0.43481,0.87321,1.17393,1.05482,0.007327,0.007327,0.007327
29,5440.14,1.05881,1.49585,1.18718,0.53209,0.65505,0.58448,0.47072,0.81038,1.12888,1.02745,0.007228,0.007228,0.007228
30,5627.67,1.05433,1.48039,1.18918,0.53884,0.64109,0.57793,0.44365,0.93016,1.15168,1.08339,0.007129,0.007129,0.007129
31,5814.59,1.04812,1.47085,1.18253,0.54564,0.67216,0.58706,0.4586,0.89189,1.11626,1.05703,0.00703,0.00703,0.00703
32,6000.62,1.05304,1.4776,1.18479,0.5178,0.63261,0.5406,0.44177,0.78519,1.18621,1.02543,0.006931,0.006931,0.006931
33,6186.71,1.03019,1.45216,1.17223,0.56564,0.66712,0.60652,0.46644,0.91645,1.11829,1.07493,0.006832,0.006832,0.006832
34,6373.92,1.02895,1.45757,1.16821,0.56718,0.63709,0.59461,0.47612,0.81213,1.07259,1.02354,0.006733,0.006733,0.006733
35,6558.44,1.02878,1.43637,1.17127,0.54949,0.68244,0.60256,0.47832,0.8616,1.08436,1.03707,0.006634,0.006634,0.006634
36,6745.28,1.01931,1.42307,1.16932,0.59484,0.636,0.61564,0.49166,0.8305,1.05947,1.02705,0.006535,0.006535,0.006535
37,6931.2,1.01665,1.41526,1.1617,0.60102,0.68681,0.6443,0.46552,1.02855,1.06086,1.16129,0.006436,0.006436,0.006436
38,7118.02,1.01333,1.41427,1.16234,0.55475,0.62843,0.58885,0.47995,0.77606,1.13172,1.01228,0.006337,0.006337,0.006337
39,7304.44,1.00556,1.3993,1.15438,0.57692,0.65933,0.60377,0.49885,0.75877,1.06721,1.00335,0.006238,0.006238,0.006238
40,7491.52,1.0144,1.39728,1.16082,0.61397,0.6764,0.63929,0.53105,0.73814,0.98824,0.99173,0.006139,0.006139,0.006139
41,7678.38,1.00364,1.37736,1.15027,0.63415,0.66281,0.64911,0.53519,0.75771,0.98019,0.99446,0.00604,0.00604,0.00604
42,7868.53,0.99117,1.36671,1.14843,0.5613,0.67357,0.59584,0.47812,0.8039,1.14198,1.02575,0.005941,0.005941,0.005941
43,8059.5,0.98836,1.35761,1.14356,0.62519,0.68551,0.65843,0.54182,0.74431,1.00409,0.99724,0.005842,0.005842,0.005842
44,8247.59,0.98473,1.35507,1.14295,0.67622,0.69465,0.70826,0.57282,0.78637,0.93005,1.00117,0.005743,0.005743,0.005743
45,8439.57,0.991,1.35299,1.14764,0.66305,0.69363,0.69091,0.55797,0.8066,0.93169,1.01523,0.005644,0.005644,0.005644
46,8631.05,0.97826,1.32028,1.13986,0.6746,0.69149,0.70443,0.53548,0.93243,0.9616,1.07207,0.005545,0.005545,0.005545
47,8822.58,0.97696,1.31816,1.13885,0.68071,0.71339,0.71539,0.59274,0.73892,0.9031,0.98931,0.005446,0.005446,0.005446
48,9013.89,0.97923,1.31359,1.13565,0.60905,0.71062,0.66694,0.54215,0.78309,1.02036,1.00587,0.005347,0.005347,0.005347
49,9203.68,0.9748,1.31217,1.1336,0.66437,0.72459,0.71788,0.59274,0.73248,0.90396,0.98485,0.005248,0.005248,0.005248
50,9394.08,0.96452,1.28682,1.12875,0.65258,0.71173,0.69635,0.56352,0.78714,0.95337,1.00153,0.005149,0.005149,0.005149
51,9585.18,0.96484,1.28249,1.12655,0.60225,0.58543,0.65441,0.52849,0.79127,1.52531,1.00765,0.00505,0.00505,0.00505
52,9781.78,0.96242,1.28513,1.12803,0.60653,0.72311,0.66597,0.54381,0.75417,1.0503,0.9916,0.004951,0.004951,0.004951
53,9975.48,0.95652,1.26446,1.12607,0.68474,0.73547,0.74166,0.61501,0.73399,0.8556,0.97959,0.004852,0.004852,0.004852
54,10167.7,0.95365,1.26331,1.12219,0.73958,0.73378,0.769,0.63337,0.74969,0.78883,0.9836,0.004753,0.004753,0.004753
55,10361.2,0.95779,1.25785,1.12578,0.67974,0.7036,0.7239,0.58875,0.76247,0.89364,0.99956,0.004654,0.004654,0.004654
56,10553.4,0.95529,1.24541,1.12459,0.7066,0.71977,0.74288,0.61493,0.73402,0.86694,0.97723,0.004555,0.004555,0.004555
57,10745.6,0.94102,1.22223,1.11699,0.76796,0.73114,0.79415,0.64679,0.75949,0.7379,0.99348,0.004456,0.004456,0.004456
58,10936.4,0.93903,1.22348,1.11375,0.67562,0.7458,0.7324,0.60342,0.73505,0.90454,0.98434,0.004357,0.004357,0.004357
59,11129.8,0.94098,1.22098,1.11625,0.7446,0.75112,0.79304,0.65772,0.72572,0.77558,0.97635,0.004258,0.004258,0.004258
60,11321.6,0.93884,1.20007,1.11488,0.7688,0.74143,0.79235,0.64477,0.76627,0.73921,0.9919,0.004159,0.004159,0.004159
61,11514,0.93559,1.19471,1.11059,0.73449,0.74355,0.78228,0.65113,0.71089,0.79217,0.96928,0.00406,0.00406,0.00406
62,11706.8,0.94394,1.20358,1.11752,0.7204,0.72283,0.75094,0.61282,0.76039,0.86695,0.99118,0.003961,0.003961,0.003961
63,11898.8,0.93598,1.19206,1.11194,0.74943,0.75873,0.79782,0.65833,0.73689,0.77264,0.97782,0.003862,0.003862,0.003862
64,12090.6,0.93064,1.18567,1.11153,0.71602,0.76022,0.77119,0.63654,0.72833,0.85486,0.97815,0.003763,0.003763,0.003763
65,12282.8,0.92438,1.18007,1.10742,0.78905,0.76546,0.82137,0.67032,0.76934,0.70997,0.99329,0.003664,0.003664,0.003664
66,12475,0.91858,1.16299,1.10397,0.76435,0.75345,0.79934,0.63214,0.81968,0.76073,1.02231,0.003565,0.003565,0.003565
67,12666.6,0.92472,1.16641,1.10783,0.78427,0.76978,0.81233,0.6751,0.71482,0.75086,0.97244,0.003466,0.003466,0.003466
68,12858.5,0.91425,1.14761,1.10042,0.80923,0.76143,0.83144,0.68829,0.72439,0.69662,0.97334,0.003367,0.003367,0.003367
69,13050.9,0.91934,1.15179,1.10231,0.78977,0.77263,0.82528,0.67944,0.7485,0.70694,0.98136,0.003268,0.003268,0.003268
70,13243.1,0.91532,1.14501,1.10266,0.7137,0.7492,0.76514,0.63163,0.74421,0.87306,0.97917,0.003169,0.003169,0.003169
71,13435.5,0.91338,1.13662,1.10187,0.77944,0.75845,0.81559,0.67614,0.72537,0.7525,0.97242,0.00307,0.00307,0.00307
72,13627.9,0.91245,1.15119,1.10137,0.77235,0.7566,0.80734,0.67162,0.71164,0.78539,0.96929,0.002971,0.002971,0.002971
73,13819.8,0.91135,1.13754,1.09788,0.75535,0.76977,0.80359,0.66621,0.7167,0.77743,0.96948,0.002872,0.002872,0.002872
74,14012.6,0.90373,1.12477,1.09742,0.79803,0.795,0.84276,0.709,0.68298,0.68859,0.95825,0.002773,0.002773,0.002773
75,14205.1,0.90415,1.11762,1.09567,0.78305,0.78046,0.82042,0.68179,0.7138,0.75581,0.96702,0.002674,0.002674,0.002674
76,14398.4,0.90402,1.11054,1.0941,0.80435,0.78329,0.84199,0.70598,0.6972,0.71445,0.95905,0.002575,0.002575,0.002575
77,14590.9,0.90222,1.11085,1.09162,0.77957,0.78896,0.82794,0.68961,0.71222,0.73275,0.96568,0.002476,0.002476,0.002476
78,14783.8,0.90433,1.11524,1.09373,0.82535,0.76929,0.84203,0.70505,0.69126,0.70719,0.96068,0.002377,0.002377,0.002377
79,14976.4,0.89591,1.10401,1.0916,0.78532,0.78252,0.82729,0.6967,0.68037,0.73181,0.95848,0.002278,0.002278,0.002278
80,15170.3,0.89916,1.09209,1.0901,0.79618,0.79268,0.83655,0.70202,0.68915,0.70757,0.96056,0.002179,0.002179,0.002179
81,15362.6,0.89423,1.07544,1.08566,0.78666,0.78286,0.82803,0.69401,0.68892,0.74069,0.96106,0.00208,0.00208,0.00208
82,15555.4,0.8958,1.09114,1.08834,0.77497,0.7804,0.8186,0.68427,0.69917,0.77834,0.96455,0.001981,0.001981,0.001981
83,15748.6,0.88629,1.07956,1.08613,0.79612,0.77559,0.82947,0.69562,0.68832,0.72747,0.96151,0.001882,0.001882,0.001882
84,15942.4,0.88304,1.07259,1.082,0.80822,0.76908,0.83316,0.69839,0.68832,0.73276,0.96186,0.001783,0.001783,0.001783
85,16135.1,0.8809,1.06642,1.08007,0.78766,0.76847,0.82319,0.69023,0.69283,0.75534,0.96287,0.001684,0.001684,0.001684
86,16330,0.88109,1.06484,1.07907,0.78985,0.77367,0.82413,0.68982,0.69498,0.75973,0.96361,0.001585,0.001585,0.001585
87,16523.2,0.87351,1.06222,1.08048,0.80756,0.78292,0.84166,0.70613,0.68792,0.72404,0.95935,0.001486,0.001486,0.001486
88,16716.6,0.88564,1.06856,1.08709,0.81177,0.76443,0.83249,0.69639,0.69755,0.75922,0.9627,0.001387,0.001387,0.001387
